T,D,P
驚,놀라다,きょう/おどろかす·おどろく
座,앉다,ざ/すわる
味,맛,み/あじ·あじわう
企,계획하다,き/くわだてる
恋,사랑,れん/こい·こいしい·こう
指,"손가락, 가리키다",し/さす·ゆび
責,책임,せき/ せめる
癒,치유하다,ゆ/いえる·いやす
画,그림,が·かく
魅,매력,み
所,장소,しょ/ところ
晴,맑다,せい/はらす·はれる
源,근원,げん/みなもと
心,마음,しん/こころ
身,몸,しん/み
